country,year,sex,age,suicides_no,population,suicides/100k pop,gdp_per_capita ($),generation,cambio_pib_per_capita
Australia,1985,male,75+ years,67.0,219000,30.59,12374.0,G.I. Generation,12123.0
Australia,1985,male,25-34 years,357.0,1299100,27.48,12374.0,Boomers,12123.0
Australia,1985,male,55-74 years,282.0,1177400,23.95,12374.0,G.I. Generation,12123.0
Australia,1985,male,15-24 years,315.0,1355800,23.23,12374.0,Generation X,12123.0
Australia,1985,male,35-54 years,411.0,1906800,21.55,12374.0,Silent,12123.0
Australia,1985,female,75+ years,36.0,382900,9.4,12374.0,G.I. Generation,12123.0
Australia,1985,female,55-74 years,109.0,1286900,8.47,12374.0,G.I. Generation,12123.0
Australia,1985,female,35-54 years,143.0,1832700,7.8,12374.0,Silent,12123.0
Australia,1985,female,15-24 years,69.0,1304000,5.29,12374.0,Generation X,12123.0
Australia,1985,female,25-34 years,64.0,1275900,5.02,12374.0,Boomers,12123.0
Australia,1985,female,5-14 years,4.0,1231400,0.32,12374.0,Generation X,12123.0
Australia,1985,male,5-14 years,4.0,1290600,0.31,12374.0,Generation X,12123.0
Australia,1986,male,75+ years,89.0,233700,38.08,12288.0,G.I. Generation,12037.0
Australia,1986,male,25-34 years,367.0,1317500,27.86,12288.0,Boomers,12037.0
Australia,1986,male,55-74 years,324.0,1211800,26.74,12288.0,G.I. Generation,12037.0
Australia,1986,male,35-54 years,487.0,1972000,24.7,12288.0,Silent,12037.0
Australia,1986,male,15-24 years,296.0,1369000,21.62,12288.0,Generation X,12037.0
Australia,1986,female,35-54 years,169.0,1888100,8.95,12288.0,Silent,12037.0
Australia,1986,female,55-74 years,105.0,1306500,8.04,12288.0,G.I. Generation,12037.0
Australia,1986,female,25-34 years,88.0,1300200,6.77,12288.0,Boomers,12037.0
Australia,1986,female,15-24 years,77.0,1315000,5.86,12288.0,Generation X,12037.0
Australia,1986,female,75+ years,23.0,405000,5.68,12288.0,G.I. Generation,12037.0
Australia,1986,male,5-14 years,18.0,1277100,1.41,12288.0,Generation X,12037.0
Australia,1986,female,5-14 years,1.0,1213900,0.08,12288.0,Generation X,12037.0
Australia,1987,male,75+ years,111.0,244800,45.34,12564.0,G.I. Generation,12313.0
Australia,1987,male,25-34 years,374.0,1345900,27.79,12564.0,Boomers,12313.0
Australia,1987,male,35-54 years,554.0,2031000,27.28,12564.0,Silent,12313.0
Australia,1987,male,55-74 years,328.0,1227000,26.73,12564.0,G.I. Generation,12313.0
Australia,1987,male,15-24 years,354.0,1383900,25.58,12564.0,Generation X,12313.0
Australia,1987,female,75+ years,38.0,421200,9.02,12564.0,G.I. Generation,12313.0
Australia,1987,female,55-74 years,110.0,1318600,8.34,12564.0,G.I. Generation,12313.0
Australia,1987,female,35-54 years,145.0,1950500,7.43,12564.0,Silent,12313.0
Australia,1987,female,15-24 years,73.0,1329700,5.49,12564.0,Generation X,12313.0
Australia,1987,female,25-34 years,70.0,1327700,5.27,12564.0,Boomers,12313.0
Australia,1987,male,5-14 years,6.0,1264900,0.47,12564.0,Generation X,12313.0
Australia,1987,female,5-14 years,1.0,1201300,0.08,12564.0,Generation X,12313.0
Australia,1988,male,75+ years,93.0,256400,36.27,15393.0,G.I. Generation,15142.0
Australia,1988,male,25-34 years,398.0,1375100,28.94,15393.0,Boomers,15142.0
Australia,1988,male,15-24 years,366.0,1395800,26.22,15393.0,Generation X,15142.0
Australia,1988,male,55-74 years,317.0,1240700,25.55,15393.0,G.I. Generation,15142.0
Australia,1988,male,35-54 years,532.0,2097100,25.37,15393.0,Silent,15142.0
Australia,1988,female,75+ years,40.0,438100,9.13,15393.0,G.I. Generation,15142.0
Australia,1988,female,25-34 years,106.0,1354700,7.82,15393.0,Boomers,15142.0
Australia,1988,female,35-54 years,157.0,2019000,7.78,15393.0,Silent,15142.0
Australia,1988,female,55-74 years,103.0,1330200,7.74,15393.0,G.I. Generation,15142.0
Australia,1988,female,15-24 years,53.0,1340300,3.95,15393.0,Generation X,15142.0
Australia,1988,male,5-14 years,6.0,1264700,0.47,15393.0,Generation X,15142.0
Australia,1988,female,5-14 years,1.0,1200000,0.08,15393.0,Generation X,15142.0
Australia,1989,male,75+ years,91.0,266900,34.1,19223.0,G.I. Generation,18972.0
Australia,1989,male,25-34 years,406.0,1399000,29.02,19223.0,Boomers,18972.0
Australia,1989,male,15-24 years,353.0,1399300,25.23,19223.0,Generation X,18972.0
Australia,1989,male,55-74 years,309.0,1255100,24.62,19223.0,G.I. Generation,18972.0
Australia,1989,male,35-54 years,475.0,2156900,22.02,19223.0,Silent,18972.0
Australia,1989,female,55-74 years,124.0,1340300,9.25,19223.0,G.I. Generation,18972.0
Australia,1989,female,75+ years,31.0,451800,6.86,19223.0,G.I. Generation,18972.0
Australia,1989,female,25-34 years,87.0,1383800,6.29,19223.0,Boomers,18972.0
Australia,1989,female,35-54 years,130.0,2086700,6.23,19223.0,Silent,18972.0
Australia,1989,female,15-24 years,51.0,1349700,3.78,19223.0,Generation X,18972.0
Australia,1989,male,5-14 years,8.0,1273300,0.63,19223.0,Generation X,18972.0
Australia,1989,female,5-14 years,1.0,1207800,0.08,19223.0,Generation X,18972.0
Australia,1990,male,75+ years,87.0,276900,31.42,19665.0,G.I. Generation,19414.0
Australia,1990,male,25-34 years,418.0,1415000,29.54,19665.0,Boomers,19414.0
Australia,1990,male,15-24 years,374.0,1405900,26.6,19665.0,Generation X,19414.0
Australia,1990,male,55-74 years,325.0,1266400,25.66,19665.0,G.I. Generation,19414.0
Australia,1990,male,35-54 years,549.0,2220600,24.72,19665.0,Silent,19414.0
Australia,1990,female,75+ years,37.0,465600,7.95,19665.0,G.I. Generation,19414.0
Australia,1990,female,25-34 years,109.0,1401200,7.78,19665.0,Boomers,19414.0
Australia,1990,female,55-74 years,98.0,1349000,7.26,19665.0,G.I. Generation,19414.0
Australia,1990,female,35-54 years,136.0,2154800,6.31,19665.0,Silent,19414.0
Australia,1990,female,15-24 years,64.0,1354800,4.72,19665.0,Generation X,19414.0
Australia,1990,male,5-14 years,5.0,1281300,0.39,19665.0,Generation X,19414.0
Australia,1990,female,5-14 years,0.0,1215500,0.0,19665.0,Generation X,19414.0
Australia,1991,male,75+ years,114.0,287600,39.64,20320.0,G.I. Generation,20069.0
Australia,1991,male,25-34 years,427.0,1416500,30.14,20320.0,Boomers,20069.0
Australia,1991,male,35-54 years,631.0,2279600,27.68,20320.0,Boomers,20069.0
Australia,1991,male,15-24 years,354.0,1405900,25.18,20320.0,Generation X,20069.0
Australia,1991,male,55-74 years,273.0,1282700,21.28,20320.0,Silent,20069.0
Australia,1991,female,75+ years,39.0,480900,8.11,20320.0,G.I. Generation,20069.0
Australia,1991,female,35-54 years,169.0,2219100,7.62,20320.0,Boomers,20069.0
Australia,1991,female,55-74 years,96.0,1362200,7.05,20320.0,Silent,20069.0
Australia,1991,female,25-34 years,91.0,1408900,6.46,20320.0,Boomers,20069.0
Australia,1991,female,15-24 years,84.0,1354900,6.2,20320.0,Generation X,20069.0
Australia,1991,male,5-14 years,7.0,1290700,0.54,20320.0,Millenials,20069.0
Australia,1991,female,5-14 years,3.0,1223100,0.25,20320.0,Millenials,20069.0
Australia,1992,male,75+ years,87.0,298600,29.14,20050.0,G.I. Generation,19799.0
Australia,1992,male,25-34 years,407.0,1417200,28.72,20050.0,Boomers,19799.0
Australia,1992,male,15-24 years,384.0,1405300,27.33,20050.0,Generation X,19799.0
Australia,1992,male,55-74 years,325.0,1299600,25.01,20050.0,Silent,19799.0
Australia,1992,male,35-54 years,579.0,2336200,24.78,20050.0,Boomers,19799.0
Australia,1992,female,75+ years,45.0,497100,9.05,20050.0,G.I. Generation,19799.0
Australia,1992,female,55-74 years,102.0,1376100,7.41,20050.0,Silent,19799.0
Australia,1992,female,25-34 years,96.0,1412600,6.8,20050.0,Boomers,19799.0
Australia,1992,female,35-54 years,144.0,2280900,6.31,20050.0,Boomers,19799.0
Australia,1992,female,15-24 years,76.0,1351300,5.62,20050.0,Generation X,19799.0
Australia,1992,male,5-14 years,4.0,1298000,0.31,20050.0,Millenials,19799.0
Australia,1992,female,5-14 years,2.0,1230600,0.16,20050.0,Millenials,19799.0
Australia,1993,male,75+ years,95.0,307700,30.87,19030.0,G.I. Generation,18779.0
Australia,1993,male,25-34 years,392.0,1413500,27.73,19030.0,Boomers,18779.0
Australia,1993,male,15-24 years,332.0,1401500,23.69,19030.0,Generation X,18779.0
Australia,1993,male,55-74 years,293.0,1320700,22.19,19030.0,Silent,18779.0
Australia,1993,male,35-54 years,523.0,2389000,21.89,19030.0,Boomers,18779.0
Australia,1993,female,35-54 years,161.0,2340600,6.88,19030.0,Boomers,18779.0
Australia,1993,female,75+ years,34.0,510500,6.66,19030.0,G.I. Generation,18779.0
Australia,1993,female,25-34 years,76.0,1409500,5.39,19030.0,Boomers,18779.0
Australia,1993,female,55-74 years,75.0,1392400,5.39,19030.0,Silent,18779.0
Australia,1993,female,15-24 years,50.0,1344900,3.72,19030.0,Generation X,18779.0
Australia,1993,male,5-14 years,5.0,1303300,0.38,19030.0,Millenials,18779.0
Australia,1993,female,5-14 years,2.0,1236400,0.16,19030.0,Millenials,18779.0
Australia,1994,male,75+ years,100.0,315900,31.66,19469.0,G.I. Generation,19218.0
Australia,1994,male,25-34 years,426.0,1414900,30.11,19469.0,Boomers,19218.0
Australia,1994,male,15-24 years,377.0,1396400,27.0,19469.0,Generation X,19218.0
Australia,1994,male,35-54 years,648.0,2441200,26.54,19469.0,Boomers,19218.0
Australia,1994,male,55-74 years,311.0,1345000,23.12,19469.0,Silent,19218.0
Australia,1994,female,35-54 years,162.0,2400300,6.75,19469.0,Boomers,19218.0
Australia,1994,female,75+ years,33.0,522900,6.31,19469.0,G.I. Generation,19218.0
Australia,1994,female,25-34 years,88.0,1411500,6.23,19469.0,Boomers,19218.0
Australia,1994,female,55-74 years,79.0,1411700,5.6,19469.0,Silent,19218.0
Australia,1994,female,15-24 years,55.0,1336300,4.12,19469.0,Generation X,19218.0
Australia,1994,male,5-14 years,3.0,1310100,0.23,19469.0,Millenials,19218.0
Australia,1994,female,5-14 years,1.0,1243200,0.08,19469.0,Millenials,19218.0
Australia,1995,male,25-34 years,440.0,1421100,30.96,21902.0,Generation X,21651.0
Australia,1995,male,75+ years,88.0,328300,26.8,21902.0,G.I. Generation,21651.0
Australia,1995,male,35-54 years,587.0,2507400,23.41,21902.0,Boomers,21651.0
Australia,1995,male,15-24 years,318.0,1374600,23.13,21902.0,Generation X,21651.0
Australia,1995,male,55-74 years,274.0,1366600,20.05,21902.0,Silent,21651.0
Australia,1995,female,35-54 years,180.0,2472200,7.28,21902.0,Boomers,21651.0
Australia,1995,female,25-34 years,91.0,1417500,6.42,21902.0,Generation X,21651.0
Australia,1995,female,15-24 years,81.0,1321300,6.13,21902.0,Generation X,21651.0
Australia,1995,female,55-74 years,79.0,1430300,5.52,21902.0,Silent,21651.0
Australia,1995,female,75+ years,28.0,539200,5.19,21902.0,G.I. Generation,21651.0
Australia,1995,male,5-14 years,4.0,1326300,0.3,21902.0,Millenials,21651.0
Australia,1995,female,5-14 years,0.0,1261500,0.0,21902.0,Millenials,21651.0
Australia,1996,male,75+ years,122.0,346100,35.25,23526.0,G.I. Generation,23275.0
Australia,1996,male,25-34 years,471.0,1431200,32.91,23526.0,Generation X,23275.0
Australia,1996,male,15-24 years,366.0,1364200,26.83,23526.0,Generation X,23275.0
Australia,1996,male,35-54 years,669.0,2574500,25.99,23526.0,Boomers,23275.0
Australia,1996,male,55-74 years,330.0,1387200,23.79,23526.0,Silent,23275.0
Australia,1996,female,35-54 years,182.0,2545300,7.15,23526.0,Boomers,23275.0
Australia,1996,female,25-34 years,98.0,1431400,6.85,23526.0,Generation X,23275.0
Australia,1996,female,55-74 years,86.0,1445900,5.95,23526.0,Silent,23275.0
Australia,1996,female,75+ years,28.0,563200,4.97,23526.0,G.I. Generation,23275.0
Australia,1996,female,15-24 years,59.0,1311800,4.5,23526.0,Generation X,23275.0
Australia,1996,male,5-14 years,8.0,1339500,0.6,23526.0,Millenials,23275.0
Australia,1996,female,5-14 years,7.0,1274800,0.55,23526.0,Millenials,23275.0
Australia,1997,male,25-34 years,529.0,1436732,36.82,25234.0,Generation X,24983.0
Australia,1997,male,75+ years,123.0,362657,33.92,25234.0,G.I. Generation,24983.0
Australia,1997,male,15-24 years,408.0,1343245,30.37,25234.0,Generation X,24983.0
Australia,1997,male,35-54 years,717.0,2632245,27.24,25234.0,Boomers,24983.0
Australia,1997,male,55-74 years,305.0,1415672,21.54,25234.0,Silent,24983.0
Australia,1997,female,35-54 years,219.0,2614291,8.38,25234.0,Boomers,24983.0
Australia,1997,female,25-34 years,109.0,1441724,7.56,25234.0,Generation X,24983.0
Australia,1997,female,75+ years,40.0,585676,6.83,25234.0,G.I. Generation,24983.0
Australia,1997,female,15-24 years,86.0,1293106,6.65,25234.0,Generation X,24983.0
Australia,1997,female,55-74 years,96.0,1465721,6.55,25234.0,Silent,24983.0
Australia,1997,female,5-14 years,7.0,1283025,0.55,25234.0,Millenials,24983.0
Australia,1997,male,5-14 years,7.0,1347206,0.52,25234.0,Millenials,24983.0
Australia,1998,male,25-34 years,579.0,1434140,40.37,22897.0,Generation X,22646.0
Australia,1998,male,35-54 years,773.0,2687916,28.76,22897.0,Boomers,22646.0
Australia,1998,male,15-24 years,353.0,1330598,26.53,22897.0,Generation X,22646.0
Australia,1998,male,75+ years,96.0,379719,25.28,22897.0,G.I. Generation,22646.0
Australia,1998,male,55-74 years,301.0,1444867,20.83,22897.0,Silent,22646.0
Australia,1998,female,25-34 years,109.0,1443163,7.55,22897.0,Generation X,22646.0
Australia,1998,female,35-54 years,202.0,2680955,7.53,22897.0,Boomers,22646.0
Australia,1998,female,75+ years,40.0,607609,6.58,22897.0,G.I. Generation,22646.0
Australia,1998,female,15-24 years,81.0,1280391,6.33,22897.0,Generation X,22646.0
Australia,1998,female,55-74 years,90.0,1486036,6.06,22897.0,Silent,22646.0
Australia,1998,male,5-14 years,6.0,1355317,0.44,22897.0,Millenials,22646.0
Australia,1998,female,5-14 years,2.0,1291019,0.15,22897.0,Millenials,22646.0
Australia,1999,male,25-34 years,511.0,1431712,35.69,22016.0,Generation X,21765.0
Australia,1999,male,75+ years,119.0,397612,29.93,22016.0,G.I. Generation,21765.0
Australia,1999,male,35-54 years,741.0,2733238,27.11,22016.0,Boomers,21765.0
Australia,1999,male,15-24 years,303.0,1326531,22.84,22016.0,Generation X,21765.0
Australia,1999,male,55-74 years,315.0,1482441,21.25,22016.0,Silent,21765.0
Australia,1999,female,25-34 years,117.0,1443911,8.1,22016.0,Generation X,21765.0
Australia,1999,female,35-54 years,201.0,2735588,7.35,22016.0,Boomers,21765.0
Australia,1999,female,15-24 years,70.0,1277560,5.48,22016.0,Generation X,21765.0
Australia,1999,female,55-74 years,74.0,1516348,4.88,22016.0,Silent,21765.0
Australia,1999,female,75+ years,21.0,630042,3.33,22016.0,G.I. Generation,21765.0
Australia,1999,male,5-14 years,10.0,1366184,0.73,22016.0,Millenials,21765.0
Australia,1999,female,5-14 years,6.0,1300535,0.46,22016.0,Millenials,21765.0
Australia,2000,male,25-34 years,466.0,1430700,32.57,23219.0,Generation X,22968.0
Australia,2000,male,75+ years,115.0,416077,27.64,23219.0,G.I. Generation,22968.0
Australia,2000,male,35-54 years,745.0,2769752,26.9,23219.0,Boomers,22968.0
Australia,2000,male,15-24 years,271.0,1333011,20.33,23219.0,Generation X,22968.0
Australia,2000,male,55-74 years,281.0,1522620,18.46,23219.0,Silent,22968.0
Australia,2000,female,25-34 years,106.0,1445332,7.33,23219.0,Generation X,22968.0
Australia,2000,female,35-54 years,200.0,2782583,7.19,23219.0,Boomers,22968.0
Australia,2000,female,15-24 years,78.0,1285283,6.07,23219.0,Generation X,22968.0
Australia,2000,female,55-74 years,87.0,1549060,5.62,23219.0,Silent,22968.0
Australia,2000,female,75+ years,33.0,652895,5.05,23219.0,G.I. Generation,22968.0
Australia,2000,male,5-14 years,8.0,1377301,0.58,23219.0,Millenials,22968.0
Australia,2000,female,5-14 years,1.0,1309796,0.08,23219.0,Millenials,22968.0
Australia,2001,male,25-34 years,489.0,1427829,34.25,20860.0,Generation X,20609.0
Australia,2001,male,35-54 years,752.0,2803465,26.82,20860.0,Boomers,20609.0
Australia,2001,male,75+ years,115.0,437528,26.28,20860.0,Silent,20609.0
Australia,2001,male,15-24 years,280.0,1351444,20.72,20860.0,Millenials,20609.0
Australia,2001,male,55-74 years,296.0,1566014,18.9,20860.0,Silent,20609.0
Australia,2001,female,35-54 years,226.0,2827367,7.99,20860.0,Boomers,20609.0
Australia,2001,female,25-34 years,109.0,1445867,7.54,20860.0,Generation X,20609.0
Australia,2001,female,75+ years,39.0,677113,5.76,20860.0,Silent,20609.0
Australia,2001,female,55-74 years,81.0,1585702,5.11,20860.0,Silent,20609.0
Australia,2001,female,15-24 years,63.0,1303713,4.83,20860.0,Millenials,20609.0
Australia,2001,female,5-14 years,4.0,1317968,0.3,20860.0,Millenials,20609.0
Australia,2001,male,5-14 years,4.0,1386873,0.29,20860.0,Millenials,20609.0
Australia,2002,male,25-34 years,452.0,1433165,31.54,21474.0,Generation X,21223.0
Australia,2002,male,35-54 years,744.0,2820596,26.38,21474.0,Boomers,21223.0
Australia,2002,male,75+ years,101.0,456942,22.1,21474.0,Silent,21223.0
Australia,2002,male,15-24 years,246.0,1372770,17.92,21474.0,Millenials,21223.0
Australia,2002,male,55-74 years,266.0,1626692,16.35,21474.0,Silent,21223.0
Australia,2002,female,35-54 years,213.0,2845525,7.49,21474.0,Boomers,21223.0
Australia,2002,female,25-34 years,103.0,1444148,7.13,21474.0,Generation X,21223.0
Australia,2002,female,55-74 years,92.0,1643643,5.6,21474.0,Silent,21223.0
Australia,2002,female,75+ years,36.0,696793,5.17,21474.0,Silent,21223.0
Australia,2002,female,15-24 years,58.0,1316527,4.41,21474.0,Millenials,21223.0
